timestamp,case_id,category,precision,M,K,N,requested_cond_A,requested_cond_B,actual_cond_A,actual_cond_B,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_ref_min,C_ref_max,C_ref_mean,C_ref_std,mae,rmse,max_abs_error,rel_mae,rel_rmse,max_rel_error,norm_rel_error,C_out_mean,C_out_std,mean_bias,p50_error,p90_error,p95_error,p99_error,snr_db,correlation,acc_1pct,acc_5pct,acc_10pct,norm_C_ref,norm_diff,total_operations,ops_per_second,gops,effective_bits,error_tail_concentration,error_outlier_ratio,bias_fraction,int8_range_utilization_pct,sign_error_count,sign_error_pct,max_row_error,max_col_error,error_spatial_variance,error_skewness,error_kurtosis,p25_error,p75_error,unexpected_zeros_count,zero_error_pct,inf_nan_count,ulp_error_mean,ulp_error_max,quadrant_error_variance,q1_error,q2_error,q3_error,q4_error,sim_time_sec,status
2025-11-09 12:29:50,0,low,int8,8,8,8,1.0,1.0,1.8532945370866725,2.0897303870165382,-5.0,5.0,0.03125,4.126775186207749,-5.0,5.0,0.171875,3.834688251263067,-103.0,83.0,-12.21875,43.25125314297263,4085493.484375,4591373.439564889,7274148.0,293912.13597322034,603520.4965277687,3604310.0,102157.50843871839,4085481.265625,2095107.7523374187,4085493.484375,4193984.5,6776065.5,7123450.899999999,7274141.7,-100.18540584397581,0.12936509240640814,0.0,0.0,0.0,359.55249964365424,36730987.516519114,1024,19.080616382401658,1.9080616382401657e-08,-16.64043571853939,1.7344226474847488,1.1238234639523061,1.0,100.0,40,62.5,7274148.0,7274148.0,2007866.1023940784,-0.1573009066756045,1.7881259002534957,2211615.5,5930784.5,0,0.0,0,nan,nan,3310870972544.2837,2015038.6875,2547460.4375,5689035.0,6090439.8125,53.66702938079834,success
2025-11-09 12:29:58,0,low,fp16,8,8,8,1.0,1.0,1.0000000000000007,1.0000000000000004,-2.8889927291888045,3.0,0.017975723975338975,1.338718177569506,-2.891626557493494,3.0,0.08485484386297305,1.4385832342775071,-11.10171979565713,10.286569635950828,-1.5320417206189636,5.237639536634214,4.361144280467075,5.45710726937184,11.10171979565713,1.0,1.0,1.0,0.9999999999977094,0.0,0.0,1.5320417206189636,3.4802559988456436,9.886574818855902,10.45308041097387,10.836003124065494,-1.4583042112976568e-11,nan,0.0,0.0,0.0,43.65685815497472,43.65685815497472,1024,129.33033465181285,1.2933033465181284e-07,-1.4096486123758636e-10,3.113564958252583,1.251301703933138,0.35129351886972054,nan,64,100.0,11.10171979565713,11.10171979565713,1.0748287068359976,-0.11697003691745161,2.483619945694828,1.518425223886243,6.886029123622934,64,100.0,0,0.9999996347690134,0.9999999892620882,0.03837053076303705,4.362638551122753,4.273484736962752,4.137690364503709,4.670763469279084,7.9177093505859375,success
2025-11-09 12:30:05,0,low,fp32,8,8,8,1.0,1.0,1.0000000000000007,1.0000000000000004,-2.8889927291888045,3.0,0.017975723975338975,1.338718177569506,-2.891626557493494,3.0,0.08485484386297305,1.4385832342775071,-11.10171979565713,10.286569635950828,-1.5320417206189636,5.237639536634214,5.079601486414621,6.172494355635865,15.159582859935435,12.566777185497578,81.30747384557253,649.3944600922397,1.1310927293412418,-0.5505813248455524,3.8334734962663184,0.9814603957734112,4.383018082354232,9.789290305059051,10.66623454446946,14.069442890791432,-1.0699642150811963,0.12431211521272394,0.0,0.0,1.5625,43.65685815497472,49.37995484508692,1024,148.2437501991235,1.482437501991235e-07,-0.17771720945246727,3.2099896979921594,1.2151532698032843,0.19321602263071275,nan,29,45.3125,15.159582859935435,15.159582859935435,2.204352802155764,-0.1394959460983125,2.5269399688429974,2.2063490339147256,7.480142485508777,0,0.0,0,12.56659113188259,649.3825938624606,0.046036943613097736,5.234295167718091,4.97744857278408,4.780932354856979,5.325729850299336,6.90754246711731,success
2025-11-09 12:30:12,1,low,int8,8,8,8,2.0,2.0,2.6255399273558355,2.4465499440080802,-5.0,5.0,0.359375,3.506098203042094,-5.0,5.0,0.140625,3.5525835119494378,-87.0,88.0,2.125,35.07113307265678,3206210.0625,3642367.438125121,6291572.0,962577969048529.5,7700623750000000.0,6.160499e+16,103666.4454837841,3206212.1875,1728306.3085544172,3206210.0625,3407801.0,5485533.9,5954092.1,6291557.51,-100.3127641539393,-0.12284375163772877,0.0,0.0,0.0,281.0836174521738,29138939.505000968,1024,144.3630584771793,1.443630584771793e-07,-16.66158947593853,1.8462220974757622,1.136035183947066,1.0,100.0,32,50.0,6291572.0,6291572.0,1709626.6147432558,-0.10176317886490033,2.0290631198022724,1818717.5,4456653.0,0,0.0,0,nan,nan,2157533962651.1133,1523734.875,1982490.625,4460636.5,4857978.25,7.093227386474609,success
2025-11-09 12:30:19,1,low,fp16,8,8,8,2.0,2.0,2.0,2.0,-2.5104397577201447,3.0,0.1127031905919394,1.2792136014992745,-2.0802924812554497,3.0,0.09649746293242652,1.0682389068023683,-8.34617335370873,9.440363451202492,0.04578933946038449,3.8345071535589925,3.1283175331773436,3.8347805379582423,9.440363451202492,1.0,1.0,1.0,0.9999999999967404,0.0,0.0,-0.04578933946038449,2.653327299047013,5.945726786881305,7.098422492046902,8.75102368978142,-2.953252866329483e-11,nan,0.0,0.0,0.0,30.678244303665938,30.678244303665938,1024,140.8326692814502,1.408326692814502e-07,-1.3956688591145746e-10,3.2981320067805746,1.2258284196428044,0.014637049779410933,nan,64,100.0,9.440363451202492,9.440363451202492,1.3669852752468017,-0.09826691767389081,2.568648930482375,1.3741596842820523,4.58934724150484,64,100.0,0,0.9999999069856818,0.9999999873723836,0.03287807538568829,3.4304396049308394,3.060356230916103,3.0752691080782624,2.947205188784168,7.271040201187134,success
2025-11-09 12:30:28,1,low,fp32,8,8,8,2.0,2.0,2.0,2.0,-2.5104397577201447,3.0,0.1127031905919394,1.2792136014992745,-2.0802924812554497,3.0,0.09649746293242652,1.0682389068023683,-8.34617335370873,9.440363451202492,0.04578933946038449,3.8345071535589925,3.242164147930426,3.9663353712261644,11.24547855492411,2.1466020022230143,3.774199577234509,15.933464366754915,1.0343057006659988,-0.046843423624522984,2.647783729871563,-0.09263276308490748,2.9512012507180274,6.076343769279821,8.118989749498837,9.984469002400681,-0.292978366906113,0.2950359702110341,0.0,3.125,3.125,30.678244303665938,31.730682969809312,1024,115.50204390293159,1.1550204390293158e-07,-0.04866265354117826,3.383188116917862,1.2233604438676133,0.02857127488168072,nan,28,43.75,11.24547855492411,11.24547855492411,2.446381320503511,-0.10681282253731761,3.023710344888193,1.5540292343065163,4.101800440673179,0,0.0,0,2.1466014315106197,15.933452223198616,0.22039486080683374,3.941084310552923,3.289990456257634,3.1054209483776303,2.632160876533516,8.865643978118896,success
2025-11-09 12:30:34,2,low,int8,8,8,8,3.0,3.0,2.9089616348731333,6.127759261121689,-5.0,5.0,0.171875,3.333329264320433,-5.0,5.0,0.546875,3.196334265119185,-53.0,62.0,12.40625,28.146779761413207,2108769.234375,2408873.714192294,3867361.0,1300704375160775.2,5862203571012674.0,3.277495e+16,78312.77282625456,2108781.640625,1164377.4794178025,2108769.234375,2359665.0,3651045.7,3801752.85,3867351.55,-97.87665202674708,0.15299395458490975,0.0,0.0,0.0,246.07722365143832,19270989.713538352,1024,160.66139942391186,1.6066139942391186e-07,-16.25696001005768,1.6389409301744102,1.1423126224175209,1.0,100.0,23,35.9375,3867361.0,3867361.0,1142869.4111220601,-0.14804236608436264,1.69611702430019,1015994.25,3146248.0,0,0.0,0,nan,nan,1028998818089.0066,966818.625,1233087.4375,3047924.8125,3187246.0625,6.373652935028076,success
2025-11-09 12:30:43,2,low,fp16,8,8,8,3.0,3.0,3.0000000000000004,2.9999999999999996,-1.933320168567706,3.0,0.09686919772227581,0.9714982972311317,-3.0,2.1728045880587157,0.13257189174624556,0.9259872785846363,-4.4095682282791975,7.143123164142406,1.2339549618927612,2.2893346685707905,2.1146714927709933,2.600711070592021,7.143123164142406,1.0,1.0,1.0,0.9999999999951937,0.0,0.0,-1.2339549618927612,1.9251224844678312,4.319387619934483,4.755302494783735,6.376639530505017,-6.420974436092529e-11,nan,0.0,0.0,0.0,20.80568856473617,20.80568856473617,1024,119.14570343174215,1.1914570343174215e-07,-1.3733537900911412e-10,3.3123292578116152,1.2298416464966642,0.5835208759623826,nan,64,100.0,7.143123164142406,7.143123164142406,1.1400930288606221,0.03740552744777499,2.9603484329582805,0.9978050208159102,2.923834315144953,64,100.0,0,0.9999989588684278,0.9999999833113212,0.03798684399372617,2.0879967003520212,1.8901547920610393,2.0541496697504535,2.426384808920459,8.594518899917603,success
2025-11-09 12:30:51,2,low,fp32,8,8,8,3.0,3.0,3.0000000000000004,2.9999999999999996,-1.933320168567706,3.0,0.09686919772227581,0.9714982972311317,-3.0,2.1728045880587157,0.13257189174624556,0.9259872785846363,-4.4095682282791975,7.143123164142406,1.2339549618927612,2.2893346685707905,1.954105982087964,2.4890797895014325,6.351727642570579,23.217709704819313,131.69853440828552,1016.0798922763919,0.957076630939576,1.2050050558755174,1.7101603436302104,-0.028949906017243787,1.485301876979267,4.193162710264166,5.192294448554229,6.143252888643104,0.3810657571658557,0.2517185693250844,0.0,1.5625,4.6875,20.80568856473617,19.91263831601146,1024,122.47393576393138,1.2247393576393138e-07,0.0632936521042762,4.136029842447479,1.2737690852951955,0.014814910901009214,nan,22,34.375,6.351727642570579,6.351727642570579,1.036305636167903,0.028933390149295524,3.0733457330089275,0.808981616704185,2.8314834337279624,0,0.0,0,23.216994701337324,1016.0378280480741,0.022258049491295652,1.79094890526601,1.8515602567887735,1.9958603169404359,2.1780544493566376,8.360962629318237,success
2025-11-09 12:31:00,3,low,int8,8,8,8,4.0,4.0,9.457661821840102,4.161189144534461,-5.0,5.0,0.53125,2.9998372351679348,-5.0,5.0,-0.359375,3.22280539427608,-59.0,64.0,-1.1875,26.342026189152573,3023872.484375,3420774.111474411,5570517.0,1157115781488049.0,7003545440940186.0,5.111805e+16,129728.19583762901,3023871.296875,1599341.856074473,3023872.484375,3342307.0,5157669.0,5419830.899999999,5570511.33,-102.26068756576721,0.043357709031602125,0.0,0.0,0.0,210.95023109728987,27366192.89179529,1024,121.43840763740204,1.2143840763740203e-07,-16.985132551360362,1.6666665659378388,1.1312560728503889,1.0,100.0,34,53.125,5570517.0,5570517.0,1559468.5888848484,-0.16216195135312667,1.8847147301182128,1671208.25,4243464.75,0,0.0,0,nan,nan,1883332728337.4458,1462279.375,1863690.9375,4235247.25,4534272.375,8.432258129119873,success
